key,address,im,gold,key:userAccount
# base entity
sponsor-01,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",true,""
# address
sponsor-00,null,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-01
sponsor-02,"","Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-01
sponsor-03,,"Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-01
sponsor-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor as*","Lorem ipsum dolor sit amet, consectetu",true,user-account-sponsor-01
# im 
sponsor-05,"Lorem ipsum dolor sit amet, consectetu","",true,user-account-sponsor-01
sponsor-06,"Lorem ipsum dolor sit amet, consectetu",,true,user-account-sponsor-01
sponsor-07,"Lorem ipsum dolor sit amet, consectetu",null,true,user-account-sponsor-01
sponsor-08,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod temp",true,user-account-sponsor-01
#gold
sponsor-09,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","",user-account-sponsor-01
sponsor-10,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",,user-account-sponsor-01
sponsor-11,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",null,user-account-sponsor-01
